ID,Priority,Scope,RelatedPriorWork,SpecificDelta,Evidence,SourceAnchors
F01,High,Numerical contract,C21; D05; R6 A10,Upstream Mathics machine-precision seed/update path even for well-scaled roots; achieved-precision postcondition missing,Source trace; public runtime probe unexecuted,"NumericalInverseChecks.wl; Mathics 10.0.1 calculus.py, optimizers.py, nevaluator.py"
F02,High,Retained exact-core specialization,D05; X05/X06; documented Mathics nonprincipal limitation,Trace from exact -x log(x) core to active unsafe nonprincipal ProductLog specialization; narrow rational certificate,Source trace; independent mpmath countermodel and exact certificate executed; Mathics probe unexecuted,CorePerturbation.wl; MathicsCoreFunctions.wl; GeneralizedSeries accessor
F03,Medium,Internal helper conformance,D06,Omitted Limit direction changes a two-sided question into a left-sided one; explicit-direction consumer excluded,Source and official semantics; helper probe unexecuted,MathicsSimplification.wl
F04,Medium,Internal helper grammar and cost,P06/P08; W3-02,FirstPosition option-only third argument is consumed as missing-match default; all matches materialized,Source and official grammar; runtime and predicate-count probes unexecuted,MathicsCompatibility.wl
F05,Medium,Runner validation,V02; P06,NaN and positive infinity pass the portable runner positive-timeout guard,Exact guard countermodel and repaired validator executed,validation/run_mathics_tests.py
F06,Medium,Temporal provenance,V01,Live package path plus pre/post equality cannot establish unchanged throughout execution; separate native snapshot precedent acknowledged,Edit/revert and synthetic Git-object snapshot tests executed,validation/run_mathics_tests.py
F07,Medium,Runner memory and I/O,P06; V01,Unbounded diagnostic capture and cumulative report serialization outside symbolic term budgets,Source cost analysis; bounded POSIX supervisor executed on synthetic children,validation/run_mathics_tests.py
E01,Development,Bounded exact proof extension,X07; existing Mathics branch helper,Exact rational affine eventual-radius synthesis avoids fixed seven-radius search,Independent exact prototype executed; public fallback behavior not established,MathicsInverseBranches.wl
E02,Development,Terminating function extension,X12; existing termination work,Terminating PFQ exception before p <= q+1 admission; finite rational recurrence,Independent coefficient prototype executed; native fallback may already succeed,MathicsTaylor.wl
E03,Development,Adapter maintenance,W3-11; preservation infrastructure,Expected-match and post-installation invariants for named late DownValues rewrites,Source-based proposal; no failed current installation asserted,MathicsRefinement.wl; MathicsLists.wl; kernel load order
