report,path,characters,SetOptions,Backend,nativeSpecification,option_name,option_key,string_option,scope
1,external-reports/code-review/wave-1/code-review-1/article/article-standalone.tex,112738,0,0,0,0,0,0,Primary article
2,external-reports/code-review/wave-1/code-review-2/article/asymptotic-review.tex,95641,0,1,0,0,0,0,Primary article
3,external-reports/code-review/wave-1/code-review-3/article/asymptotic-audit.tex,79420,0,1,0,0,0,0,Primary article
4,external-reports/code-review/wave-1/code-review-4/article.tex,87885,0,1,0,0,0,0,Primary article
5,external-reports/code-review/wave-1/code-review-5/article/asymptotic-audit.tex,124499,0,0,0,2,0,0,Primary article
6,external-reports/code-review/wave-1/code-review-6/article/article.tex,105898,0,4,0,0,0,0,Primary article
7,external-reports/code-review/wave-1/code-review-7/article/03-findings.tex,22266,0,0,0,0,0,0,Selected chapter
8,external-reports/code-review/wave-1/code-review-8/article/asymptotic_repository_audit.tex,88412,0,2,0,0,0,0,Primary article
9,external-reports/code-review/wave-1/code-review-9/article.tex,87449,0,3,0,0,0,0,Primary article
10,external-reports/code-review/wave-2/code-review-10/article/asymptotic_delta_audit.tex,70634,0,0,0,0,0,0,Primary article
11,external-reports/code-review/wave-2/code-review-11/article/asymptotic-contract-audit.tex,65546,0,1,0,0,0,0,Primary article
12,external-reports/code-review/wave-2/code-review-12/article/asymptotic_incremental_audit.tex,64734,0,0,0,0,0,0,Primary article
13,external-reports/code-review/wave-2/code-review-13/article/asymptotic-incremental-audit.tex,64839,0,0,0,0,0,0,Primary article
14,external-reports/code-review/wave-2/code-review-14/article.tex,81252,0,0,0,0,0,0,Primary article
15,external-reports/code-review/wave-2/code-review-15/article/05-observables-and-plan.tex,10885,0,0,0,0,0,0,Selected chapter
16,external-reports/code-review/wave-2/code-review-16/article/article.tex,74306,0,9,0,0,0,0,Primary article
17,external-reports/code-review/wave-2/code-review-17/article/asymptotic_delta_audit.tex,63160,0,0,0,0,0,0,Primary article
18,external-reports/code-review/wave-2/code-review-18/article/audit.tex,81307,0,0,0,0,0,0,Primary article
