path,inspection_scope,purpose,commit_pinned_url
README.md,"full returned text, selected detailed reading","entry points, goals and compatibility scope",https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/README.md
src/Kernel/README.md,complete,module map,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/README.md
AsymptoticAnalysis.wl,full fetched text; selected searches; native load,distribution and selected definitions; not every line audited,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/AsymptoticAnalysis.wl
src/Kernel/CorePerturbation.wl,complete relevant model/constructor paths; exact line windows 110-235,new component-admission finding and bound,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/CorePerturbation.wl
src/Kernel/FourierCoefficients.wl,successive source ranges through public APIs,"coefficients, power convention, envelopes; candidate exclusions",https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/FourierCoefficients.wl
src/Kernel/DirichletSpecialFunctions.wl,complete,Zeta/Lerch formulas and known-overlap screening,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/DirichletSpecialFunctions.wl
src/Kernel/ParameterizedSpecialFunctions.wl,complete returned source,Frobenius/Taylor ingress,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/ParameterizedSpecialFunctions.wl
src/Kernel/InverseCertificates.wl,selected ranges and searches,exact interval logic; known overlaps excluded,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/InverseCertificates.wl
src/Kernel/MathicsAssumptions.wl,complete,real/sign rules; no new soundness finding retained,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/MathicsAssumptions.wl
src/Kernel/MathicsAlgebra.wl,complete,polynomial and algebra adapters,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/MathicsAlgebra.wl
src/Kernel/MathicsCoreFunctions.wl,complete,normalization/timeout adapters,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/MathicsCoreFunctions.wl
src/Kernel/MathicsSpecialFunctions.wl,complete,LogGamma adapter,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/MathicsSpecialFunctions.wl
src/Kernel/MathicsTaylor.wl,complete,defining Taylor adapter; indexed restrictions,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/MathicsTaylor.wl
src/Kernel/GammaInverse.wl,selected detailed prefix and searches,inverse coefficient model and frontier,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/GammaInverse.wl
src/Kernel/BarnesInverse.wl,complete,inverse recurrence and branch proof,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/BarnesInverse.wl
src/Kernel/CoordinateInverse.wl,complete returned source,target-log coordinate construction,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/CoordinateInverse.wl
src/Kernel/SourceCoordinates.wl,selected detailed prefix,source reconstruction and observable contracts,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/SourceCoordinates.wl
src/Kernel/FlatSectors.wl,complete,"flat model, marker recurrence and majorant",https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/FlatSectors.wl
src/Kernel/LogarithmicScales.wl,selected detailed prefix,logarithmic models and unit recursion,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/LogarithmicScales.wl
src/Kernel/SpecialFunctionRealDomain.wl,selected detailed prefix,sufficient real-domain contracts,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Kernel/SpecialFunctionRealDomain.wl
src/Documentation/UserGuide.md,full fetched text; targeted sections,"Power semantics, current coverage, result contracts",https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/src/Documentation/UserGuide.md
external-reports/code-review/README.md,full index,55-numbered/45-retained exclusion scope,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/external-reports/code-review/README.md
external-reports/code-review/wave-1/README.md,index,prior review exclusions,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/external-reports/code-review/wave-1/README.md
external-reports/code-review/wave-2/README.md,index,prior review exclusions,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/external-reports/code-review/wave-2/README.md
docs/development/WAVE_3_INTAKE.md,consolidated finding table and selected sections,prior mechanisms,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/docs/development/WAVE_3_INTAKE.md
docs/development/WAVE_4_INTAKE.md,consolidated work table and selected detail,prior mechanisms including sparse degree costs,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/docs/development/WAVE_4_INTAKE.md
external-reports/code-review/wave-5/README.md,index,reports 37-45,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/external-reports/code-review/wave-5/README.md
external-reports/code-review/wave-6/README.md,index,reports 46-55,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/external-reports/code-review/wave-6/README.md
docs/development/CODE_REVIEW_STATUS.md,introductory reconciliation and selected relevant entries,fixed-data principles and earlier attributed obligations,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/docs/development/CODE_REVIEW_STATUS.md
external-reports/code-review/wave-6/code-review-46/README.md,complete,nearest prior SourceShift mechanism,https://github.com/VladimirReshetnikov/Asymptotic/blob/efa1aeec4845a9c35e140963a0333d0c9ec33b05/external-reports/code-review/wave-6/code-review-46/README.md
