key,source,url,inspection_scope
commit,Pinned repository revision,https://github.com/VladimirReshetnikov/Asymptotic/commit/7d1bc832895cc90a9b2a978b7b7684acab908bd2,Commit metadata
readme,README.md,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/README.md,"Public architecture, loading, coverage goals"
guide,src/Documentation/UserGuide.md,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Documentation/UserGuide.md,"Inspected opening sections, public features, native and Mathics scope"
modulemap,src/Kernel/README.md,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/README.md,Full module map and compatibility map
reviewindex,external-reports/code-review/README.md,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/external-reports/code-review/README.md,Full review index
status,docs/development/CODE_REVIEW_STATUS.md,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/docs/development/CODE_REVIEW_STATUS.md,Consolidated status and complete attributed crosswalk; not every original article
intake,docs/development/WAVE_3_INTAKE.md,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/docs/development/WAVE_3_INTAKE.md,Full wave-3 intake and crosswalk
core,src/Kernel/AsymptoticAnalysis.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/AsymptoticAnalysis.wl,"Selected entry, forward/import, construction, and accessor ranges"
native,src/Kernel/NativeCompatibility.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/NativeCompatibility.wl,"Selected held dispatch, routing, native status and contract ranges"
inverseexpr,src/Kernel/InverseFunctionExpressions.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/InverseFunctionExpressions.wl,Eventual-condition helper and public forward/inverse consumers
branches,src/Kernel/InverseFunctionBranches.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/InverseFunctionBranches.wl,"Selected domain, monotonicity, local validation and branch-selection ranges"
lambert,src/Kernel/LambertInverse.wl,https://github.com/VladimirReshetnikov/Asymptotic/blob/7d1bc832895cc90a9b2a978b7b7684acab908bd2/src/Kernel/LambertInverse.wl,Selected model and construction ranges
