path,read_scope,focus,pinned_source
src/Kernel/AsymptoticAnalysis.wl,selected windows,Forward jet algebra including fwdAbs; inverse construction; object assembly; formatting; residual routing,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/AsymptoticAnalysis.wl
src/Kernel/SeriesOperations.wl,selected windows,"Representation, arithmetic, observable interpreter, composition, truncation, differentiation, refinement",https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/SeriesOperations.wl
src/Kernel/InverseCertificates.wl,selected windows,"Exact interval primitives, affine recognition, recursive enclosures, domain checks, adaptive orchestration",https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/InverseCertificates.wl
src/Kernel/SeriesEnvelopeArithmetic.wl,substantial read,Conservative composite arithmetic and approach handling,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/SeriesEnvelopeArithmetic.wl
src/Kernel/SourceCoordinates.wl,selected windows,Logarithmic/exponential source reconstruction,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/SourceCoordinates.wl
src/Kernel/GammaForward.wl,substantial read,Positive-factor logarithmic normalization,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/GammaForward.wl
src/Kernel/GammaInverse.wl,substantial read,Ordered inverse construction and truncation,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/GammaInverse.wl
src/Kernel/SpecialFunctionAdapters.wl,selected windows,"Erfc, Gamma and local threshold models",https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/SpecialFunctionAdapters.wl
src/Kernel/ParameterizedSpecialFunctions.wl,substantial read,Fixed-parameter Taylor/Frobenius admission,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/ParameterizedSpecialFunctions.wl
src/Kernel/DirichletSpecialFunctions.wl,substantial read,Zeta/Lerch construction and quantitative bounds,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/DirichletSpecialFunctions.wl
src/Kernel/NumericalInverseChecks.wl,substantial read,Stored equation and source-domain checks,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/NumericalInverseChecks.wl
src/Kernel/ExactTermination.wl,substantial read,Bounded symbolic termination verification,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/ExactTermination.wl
src/Kernel/NativeCompatibility.wl,selected windows,Native result and held backend entry,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/NativeCompatibility.wl
src/Kernel/MathicsAlgebra.wl,substantial read,Algebraic compatibility helpers,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/MathicsAlgebra.wl
src/Kernel/MathicsAssumptions.wl,substantial read,Finite-real/sign proof helpers,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/MathicsAssumptions.wl
src/Kernel/MathicsCalculus.wl,substantial read,Perturbative inverse and logarithmic Euler derivative,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/MathicsCalculus.wl
src/Kernel/MathicsSimplification.wl,substantial read,Simplification and Series/Limit wrappers,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/MathicsSimplification.wl
src/Kernel/MathicsTaylor.wl,substantial read,Restricted defining Taylor series,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/MathicsTaylor.wl
src/Kernel/MathicsSpecialFunctions.wl,substantial read,Finite Stirling adapter,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Kernel/MathicsSpecialFunctions.wl
src/Tests/SeriesOperations.wlt,"read, not executed",Ordinary derivative-contract and exact-tail controls,https://github.com/VladimirReshetnikov/Asymptotic/blob/651f2029d0b2cd4da9e4dfdf1f4275a124d23b99/src/Tests/SeriesOperations.wlt
