path,level,scope,limitation_or_use
README.md,Contract and architecture read,Full fetched README,"Current names, capabilities, public workflows, and validation caveats"
docs/development/CODE_REVIEW_STATUS.md,Prior-work exclusion and current status,Beginning and correctness/performance/API sections; some long responses truncated,Not a claim to have independently reproduced all 123 prior finding entries
docs/development/NATIVE_COMPATIBILITY.md,Detailed contract read,Full fetched plan,"Selection policy, protected inputs, order conventions, evidence boundary"
src/Kernel/NativeCompatibility.wl,Detailed source inspection and focused execution,Full module via overlapping source ranges and pinned standalone; candidate anchor counts checked,N1-N3 and P-N1 primary source
src/Kernel/AsymptoticAnalysis.wl,Selected source inspection,"Public contracts and assumption boundary, result/residual/coefficient and loader regions",Not a line-by-line proof of every jet primitive
src/Kernel/InverseCertificates.wl,Detailed selected source inspection,"Rational interval primitives, domain checks, residual/existence proof, adaptive driver",No new unsoundness claim
src/Tests/NativeAutomatic.wlt,Source inspection and execution,Focused test definitions inspected; file executed,Part of baseline 90/0
src/Tests/NativeContracts.wlt,Full source inspection and execution,Entire fetched file,Part of baseline 90/0
src/Tests/NativeCompatibility.wlt,Execution,File executed against pinned standalone,Part of baseline 90/0
src/Tests/NativePresentation.wlt,Execution,File executed against pinned standalone,Part of baseline 90/0
Other specialized kernel modules,"Architecture context, not independent line audit","Loader inventory, README contracts, implementation register, prior articles",No exhaustive current engine correctness claim
external-reports/code-review,Novelty filtering,Consolidated finding register and eighteen targeted article/chapter scans,"Keyword absence is supporting evidence, not proof of novelty"
