path,inspection_scope,topic,revision,claim
src/Kernel/MathicsAssumptions.wl,full,realness/sign proof adapters,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/DirichletSpecialFunctions.wl,full,Zeta and Lerch coefficients and tail formulas,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/ParameterizedSpecialFunctions.wl,full,finite-argument/Frobenius adapter formulas,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/MathicsCalculus.wl,full,finite derivative sums,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/MathicsAlgebra.wl,full,exact algebra adapters,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/MathicsTaylor.wl,full,defining-series admission,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/SeriesEnvelopeArithmetic.wl,selected ranges,"composite envelopes, powers and observables",8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/SourceCoordinates.wl,selected ranges,source charts and reconstruction,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/SeriesOperations.wl,"1-190; 580-end, with response truncation","representations, arithmetic and refinement replay",8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/InverseCertificates.wl,"1-420, with response truncation",exact interval arithmetic and certificate construction,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/GammaForward.wl,full,positive product lowering and logarithmic carriers,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/BarnesForward.wl,full,recurrences and logarithmic tail model,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/MathicsCoreFunctions.wl,full,late core adapters,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/MathicsSpecialFunctions.wl,full,Stirling fallback,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/MathicsInverseBranches.wl,full,affine domains and eventual predicates,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/MathicsSimplification.wl,full,scoped native simplification,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/SpecialFunctionRealDomain.wl,1-180,real-domain contracts,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/SpecialFunctionAdapters.wl,selected ranges covering almost all file,Erfc/Gamma/threshold adapters and numerical checks,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/MathicsFormatting.wl,full,arithmetic upvalues and display,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
src/Kernel/ExponentialCorePerturbation.wl,critical construction path and tail metadata fully recovered,"N01 source guard, chart, recurrence and remainder",8cee870994f506b501bae3ea6bd4a3a7edb895c1,N01
src/Kernel/LambertInverse.wl,"1-200, with response truncation",normalized exponential-core parser,8cee870994f506b501bae3ea6bd4a3a7edb895c1,N01
validation/documentation_links.py,full,maintained-link validation,8cee870994f506b501bae3ea6bd4a3a7edb895c1,Inspected; no independent new defect asserted
